Gene ID,Gene Symbol,TF
ENSG00000063046.17,EIF4B,MYBL2
ENSG00000063176.15,SPHK2,MYBL2
ENSG00000063177.12,RPL18,MYBL2
ENSG00000063241.7,ISOC2,MYBL2
ENSG00000063244.12,U2AF2,MYBL2
ENSG00000063244.12,U2AF2,MYBL2
ENSG00000063245.14,EPN1,MYBL2
ENSG00000063322.13,MED29,MYBL2
ENSG00000063854.12,HAGH,MYBL2
ENSG00000064012.21,CASP8,MYBL2
ENSG00000064102.14,ASUN,MYBL2
ENSG00000064115.10,TM7SF3,MYBL2
ENSG00000064199.6,SPA17,MYBL2
ENSG00000064225.12,ST3GAL6,MYBL2
ENSG00000064309.14,CDON,MYBL2
ENSG00000064313.11,TAF2,MYBL2
ENSG00000064393.15,HIPK2,MYBL2
ENSG00000064419.13,TNPO3,MYBL2
ENSG00000064489.22,BORCS8-MEF2B,MYBL2
ENSG00000064490.13,RFXANK,MYBL2
ENSG00000064601.16,CTSA,MYBL2
ENSG00000064607.16,SUGP2,MYBL2
ENSG00000064687.12,ABCA7,MYBL2
ENSG00000064703.11,DDX20,MYBL2
ENSG00000064726.9,BTBD1,MYBL2
ENSG00000064787.13,BCAS1,MYBL2
ENSG00000064933.16,PMS1,MYBL2
ENSG00000064995.16,TAF11,MYBL2
ENSG00000064995.16,TAF11,MYBL2
ENSG00000064999.13,ANKS1A,MYBL2
ENSG00000065000.15,AP3D1,MYBL2
ENSG00000065000.15,AP3D1,MYBL2
ENSG00000065029.14,ZNF76,MYBL2
ENSG00000065057.7,NTHL1,MYBL2
ENSG00000065060.16,UHRF1BP1,MYBL2
ENSG00000065135.9,GNAI3,MYBL2
ENSG00000065154.11,OAT,MYBL2
ENSG00000065183.15,WDR3,MYBL2
ENSG00000065243.19,PKN2,MYBL2
ENSG00000065268.10,WDR18,MYBL2
ENSG00000065308.4,TRAM2,MYBL2
ENSG00000065328.16,MCM10,MYBL2
ENSG00000065357.19,DGKA,MYBL2
ENSG00000065361.14,ERBB3,MYBL2
ENSG00000065361.14,ERBB3,MYBL2
ENSG00000065427.14,KARS,MYBL2
ENSG00000065457.10,ADAT1,MYBL2
ENSG00000065485.18,PDIA5,MYBL2
ENSG00000065491.8,TBC1D22B,MYBL2
ENSG00000065518.7,NDUFB4,MYBL2
ENSG00000065526.10,SPEN,MYBL2
ENSG00000065548.17,ZC3H15,MYBL2
ENSG00000065613.13,SLK,MYBL2
ENSG00000065615.13,CYB5R4,MYBL2
ENSG00000065675.14,PRKCQ,MYBL2
ENSG00000065802.11,ASB1,MYBL2
ENSG00000065883.14,CDK13,MYBL2
ENSG00000065911.11,MTHFD2,MYBL2
ENSG00000065978.18,YBX1,MYBL2
ENSG00000065989.15,PDE4A,MYBL2
ENSG00000066027.11,PPP2R5A,MYBL2
ENSG00000066084.12,DIP2B,MYBL2
ENSG00000066117.14,SMARCD1,MYBL2
ENSG00000066135.12,KDM4A,MYBL2
ENSG00000066136.20,NFYC,MYBL2
ENSG00000066185.12,ZMYND12,MYBL2
ENSG00000066248.14,NGEF,MYBL2
ENSG00000066279.16,ASPM,MYBL2
ENSG00000066322.13,ELOVL1,MYBL2
ENSG00000066422.4,ZBTB11,MYBL2
ENSG00000066427.21,ATXN3,MYBL2
ENSG00000066455.12,GOLGA5,MYBL2
ENSG00000066557.5,LRRC40,MYBL2
ENSG00000066583.11,ISOC1,MYBL2
ENSG00000066651.17,TRMT11,MYBL2
ENSG00000066654.13,THUMPD1,MYBL2
ENSG00000066697.14,MSANTD3,MYBL2
ENSG00000066777.8,ARFGEF1,MYBL2
ENSG00000066827.15,ZFAT,MYBL2
ENSG00000066827.15,ZFAT,MYBL2
ENSG00000066855.15,MTFR1,MYBL2
ENSG00000067048.16,DDX3Y,MYBL2
ENSG00000067064.10,IDI1,MYBL2
ENSG00000067066.16,SP100,MYBL2
ENSG00000067082.14,KLF6,MYBL2
ENSG00000067167.7,TRAM1,MYBL2
ENSG00000067182.7,TNFRSF1A,MYBL2
ENSG00000067225.17,PKM,MYBL2
ENSG00000067248.9,DHX29,MYBL2
ENSG00000067334.13,DNTTIP2,MYBL2
ENSG00000067365.14,METTL22,MYBL2
ENSG00000067533.5,RRP15,MYBL2
ENSG00000067560.10,RHOA,MYBL2
ENSG00000067596.10,DHX8,MYBL2
ENSG00000067606.16,PRKCZ,MYBL2
ENSG00000067646.11,ZFY,MYBL2
ENSG00000067704.9,IARS2,MYBL2
ENSG00000067955.13,CBFB,MYBL2
ENSG00000068024.16,HDAC4,MYBL2
ENSG00000068079.7,IFI35,MYBL2
ENSG00000068097.14,HEATR6,MYBL2
ENSG00000068120.14,COASY,MYBL2
ENSG00000068137.14,PLEKHH3,MYBL2
ENSG00000068137.14,PLEKHH3,MYBL2
ENSG00000068305.17,MEF2A,MYBL2
ENSG00000068308.13,OTUD5,MYBL2
ENSG00000068400.13,GRIPAP1,MYBL2
ENSG00000068489.12,PRR11,MYBL2
ENSG00000068650.18,ATP11A,MYBL2
ENSG00000068654.15,POLR1A,MYBL2
ENSG00000068697.6,LAPTM4A,MYBL2
ENSG00000068724.15,TTC7A,MYBL2
ENSG00000068745.14,IP6K2,MYBL2
ENSG00000068796.16,KIF2A,MYBL2
ENSG00000068878.14,PSME4,MYBL2
ENSG00000068885.14,IFT80,MYBL2
ENSG00000068903.19,SIRT2,MYBL2
ENSG00000068912.13,ERLEC1,MYBL2
ENSG00000068971.13,PPP2R5B,MYBL2
ENSG00000069011.15,PITX1,MYBL2
ENSG00000069248.11,NUP133,MYBL2
ENSG00000069275.12,NUCKS1,MYBL2
ENSG00000069329.15,VPS35,MYBL2
ENSG00000069345.11,DNAJA2,MYBL2
ENSG00000069399.13,BCL3,MYBL2
ENSG00000069424.14,KCNAB2,MYBL2
ENSG00000069535.13,MAOB,MYBL2
ENSG00000069849.10,ATP1B3,MYBL2
ENSG00000069869.15,NEDD4,MYBL2
ENSG00000069943.9,PIGB,MYBL2
ENSG00000069974.15,RAB27A,MYBL2
ENSG00000070010.18,UFD1L,MYBL2
ENSG00000070018.8,LRP6,MYBL2
ENSG00000070047.11,PHRF1,MYBL2
ENSG00000070061.14,IKBKAP,MYBL2
ENSG00000070081.15,NUCB2,MYBL2
ENSG00000070214.15,SLC44A1,MYBL2
ENSG00000070366.13,SMG6,MYBL2
ENSG00000070367.15,EXOC5,MYBL2
ENSG00000070371.15,CLTCL1,MYBL2
ENSG00000070423.17,RNF126,MYBL2
ENSG00000070444.14,MNT,MYBL2
ENSG00000070444.14,MNT,MYBL2
ENSG00000070476.14,ZXDC,MYBL2
ENSG00000070495.14,JMJD6,MYBL2
ENSG00000070540.12,WIPI1,MYBL2
ENSG00000070540.12,WIPI1,MYBL2
ENSG00000070610.14,GBA2,MYBL2
ENSG00000070610.14,GBA2,MYBL2
ENSG00000070669.16,ASNS,MYBL2
ENSG00000070718.11,AP3M2,MYBL2
ENSG00000070756.14,PABPC1,MYBL2
ENSG00000070759.16,TESK2,MYBL2
ENSG00000070761.7,CFAP20,MYBL2
ENSG00000070785.16,EIF2B3,MYBL2
ENSG00000070814.17,TCOF1,MYBL2
ENSG00000070814.17,TCOF1,MYBL2
ENSG00000070831.15,CDC42,MYBL2
ENSG00000070831.15,CDC42,MYBL2
ENSG00000070950.9,RAD18,MYBL2
ENSG00000070961.15,ATP2B1,MYBL2
ENSG00000071054.16,MAP4K4,MYBL2
ENSG00000071054.16,MAP4K4,MYBL2
